Frequency (Hz),Magnitude (dB),Phase (°)
30170.881683,58.025548198,-125.72563073
32440.919233,57.198105207,-135.85764777
34881.752935,56.138869856,-145.85684644
37506.233381,54.967821605,-155.93313738
40328.178031,53.544706128,-165.24535536
43362.443964,52.033124636,-174.3257848
46625.006097,50.431510605,177.94926419
50133.041286,48.701610363,170.48719368
53905.018765,46.979390681,163.77511063
57960.797381,45.155746634,157.43972649
62321.730148,43.359262029,151.86462741
67010.776664,41.503584221,146.95362683
72052.623996,39.654854777,142.09260783
77473.816648,37.758391156,137.63985948
83302.896316,35.938110646,133.91422016
89570.552153,34.03104093,130.18428373
96309.782347,32.141243529,127.01080097
103556.06785,30.297753149,123.27428988
